,end,val,accn,fy,fp,form,filed,frame,fact,start
1,2018-01-28,2915000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,InterestPaidNet,2017-01-29
5,2019-02-03,11424000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,InterestPaidNet,2018-01-29
8,2020-02-02,12682000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,InterestPaidNet,2019-02-04
11,2021-01-31,18346000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,InterestPaidNet,2020-02-03
13,2022-01-30,3090000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,InterestPaidNet,2021-02-01
14,2023-01-29,788000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,InterestPaidNet,2022-01-31
4,2010-01-31,466124000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,InventoryNet,
14,2011-01-30,513381000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,InventoryNet,
25,2012-01-29,553461000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,InventoryNet,
36,2013-02-03,640024000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,InventoryNet,
47,2014-02-02,813160000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,InventoryNet,
58,2015-02-01,887701000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,InventoryNet,
69,2016-01-31,978138000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,InventoryNet,
80,2017-01-29,977505000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,InventoryNet,
91,2018-01-28,1061593000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,InventoryNet,
102,2019-02-03,1124992000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,InventoryNet,
113,2020-02-02,1100544000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,InventoryNet,
124,2021-01-31,1006299000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,InventoryNet,
135,2022-01-30,1246372000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,InventoryNet,
0,2011-01-30,12348000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,InventoryValuationReserves,
2,2012-01-29,12026000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,InventoryValuationReserves,
4,2013-02-03,12273000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,InventoryValuationReserves,
6,2014-02-02,10406000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,InventoryValuationReserves,
8,2015-02-01,10244000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,InventoryValuationReserves,
10,2016-01-31,9782000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,InventoryValuationReserves,
12,2017-01-29,13770000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,InventoryValuationReserves,
14,2018-01-28,12649000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,InventoryValuationReserves,
16,2019-02-03,13580000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,InventoryValuationReserves,
18,2020-02-02,13424000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,InventoryValuationReserves,
20,2021-01-31,9827000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,InventoryValuationReserves,
22,2022-01-30,14000000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,InventoryValuationReserves,
23,2023-01-29,24700000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022Q4I,InventoryValuationReserves,
6,2020-02-02,396901000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019,LeaseCost,2019-02-04
8,2021-01-31,370603000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020,LeaseCost,2020-02-03
10,2022-01-30,384708000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,LeaseCost,2021-02-01
11,2023-01-29,413241000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,LeaseCost,2022-01-31
3,2020-02-02,215234000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2019Q4I,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,
4,2021-01-31,192618000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2020Q4I,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,
5,2022-01-30,168274000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2021Q4I,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,
6,2023-01-29,223228000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022Q4I,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,
0,2016-01-31,6088000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2015Q4I,LettersOfCreditOutstandingAmount,
4,2017-01-29,6565000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2016Q4I,LettersOfCreditOutstandingAmount,
8,2018-01-28,6721000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2017Q4I,LettersOfCreditOutstandingAmount,
12,2019-02-03,6820000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2018Q4I,LettersOfCreditOutstandingAmount,
16,2020-02-02,6462000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2019Q4I,LettersOfCreditOutstandingAmount,
20,2021-01-31,3843000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2020Q4I,LettersOfCreditOutstandingAmount,
24,2022-01-30,4429000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2021Q4I,LettersOfCreditOutstandingAmount,
29,2023-01-29,500000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022Q4I,LettersOfCreditOutstandingAmount,
4,2010-01-31,867574000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,Liabilities,
14,2011-01-30,872899000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,Liabilities,
25,2012-01-29,805576000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,Liabilities,
36,2013-02-03,878541000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,Liabilities,
47,2014-02-02,1080732000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,Liabilities,
58,2015-02-01,1105571000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,Liabilities,
69,2016-01-31,1219201000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,Liabilities,
80,2017-01-29,1228659000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,Liabilities,
91,2018-01-28,1582183000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,Liabilities,
102,2019-02-03,1657130000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,Liabilities,
113,2020-02-02,2818182000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,Liabilities,
124,2021-01-31,3010239000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,Liabilities,
135,2022-01-30,2961413000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,Liabilities,
4,2010-01-31,2079169000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,LiabilitiesAndStockholdersEquity,
14,2011-01-30,2131762000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,LiabilitiesAndStockholdersEquity,
25,2012-01-29,2060838000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,LiabilitiesAndStockholdersEquity,
36,2013-02-03,2187679000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,LiabilitiesAndStockholdersEquity,
47,2014-02-02,2336734000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,LiabilitiesAndStockholdersEquity,
58,2015-02-01,2330277000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,LiabilitiesAndStockholdersEquity,
69,2016-01-31,2417427000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,LiabilitiesAndStockholdersEquity,
80,2017-01-29,2476879000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,LiabilitiesAndStockholdersEquity,
91,2018-01-28,2785749000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,LiabilitiesAndStockholdersEquity,
102,2019-02-03,2812844000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,LiabilitiesAndStockholdersEquity,
113,2020-02-02,4054042000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,LiabilitiesAndStockholdersEquity,
124,2021-01-31,4661424000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,LiabilitiesAndStockholdersEquity,
135,2022-01-30,4625620000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,LiabilitiesAndStockholdersEquity,
4,2010-01-31,563482000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,LiabilitiesCurrent,
14,2011-01-30,611716000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,LiabilitiesCurrent,
25,2012-01-29,571799000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,LiabilitiesCurrent,
36,2013-02-03,657127000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,LiabilitiesCurrent,
47,2014-02-02,861096000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,LiabilitiesCurrent,
58,2015-02-01,875948000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,LiabilitiesCurrent,
69,2016-01-31,996427000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,LiabilitiesCurrent,
80,2017-01-29,961256000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,LiabilitiesCurrent,
91,2018-01-28,1007823000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,LiabilitiesCurrent,
102,2019-02-03,1074812000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,LiabilitiesCurrent,
113,2020-02-02,1609555000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,LiabilitiesCurrent,
124,2021-01-31,1848000000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,LiabilitiesCurrent,
135,2022-01-30,1771686000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,LiabilitiesCurrent,
0,2014-02-02,0.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,LineOfCredit,
2,2015-02-01,0.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,LineOfCredit,
5,2016-01-31,0.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,LineOfCredit,
7,2017-01-29,0.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,LineOfCredit,
10,2018-01-28,0.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,LineOfCredit,
12,2019-02-03,0.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,LineOfCredit,
14,2020-02-02,0.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,LineOfCredit,
18,2021-01-31,0.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2020Q4I,LineOfCredit,
2,2011-01-30,0.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,LineOfCreditFacilityAmountOutstanding,
6,2012-01-29,0.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,LineOfCreditFacilityAmountOutstanding,
9,2013-02-03,0.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,LineOfCreditFacilityAmountOutstanding,
11,2014-02-02,0.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2013Q4I,LineOfCreditFacilityAmountOutstanding,
4,2011-01-30,0.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,2010-02-01
10,2012-01-29,0.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,2011-01-31
13,2013-02-03,0.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,2012-01-30
15,2014-02-02,0.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,2013-02-04
18,2015-02-01,90000000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,2014-02-03
26,2016-01-31,200000000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,2015-02-02
38,2017-01-29,125000000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,2016-02-01
50,2018-01-28,170000000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,2017-01-30
55,2019-02-03,60000000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2018,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,2018-01-29
0,2011-01-30,8672000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,LongTermDebt,
3,2012-01-29,7273000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2011Q4I,LongTermDebt,
2,2010-01-31,8672000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,LongTermDebtAndCapitalLeaseObligations,
10,2011-01-30,7130000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,LongTermDebtAndCapitalLeaseObligations,
21,2012-01-29,5478000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,LongTermDebtAndCapitalLeaseObligations,
32,2013-02-03,3753000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,LongTermDebtAndCapitalLeaseObligations,
43,2014-02-02,1968000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,LongTermDebtAndCapitalLeaseObligations,
4,2020-02-02,299818000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,LongTermDebtCurrent,
13,2021-01-31,299350000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,LongTermDebtCurrent,
17,2022-01-30,0.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2021Q4I,LongTermDebtCurrent,
0,2012-01-29,1795000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2011Q4I,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,
1,2013-02-03,1724000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2012Q4I,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,
2,2014-02-02,1785000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2013Q4I,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,
0,2012-01-29,1968000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2011Q4I,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,
0,2012-01-29,1786000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2011Q4I,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,
1,2013-02-03,1968000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2012Q4I,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,
0,2012-01-29,1724000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2011Q4I,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,
1,2013-02-03,1785000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2012Q4I,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,
2,2014-02-02,1968000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2013Q4I,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,
0,2018-01-28,299422000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,LongTermDebtNoncurrent,
11,2019-02-03,299620000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,LongTermDebtNoncurrent,
0,2009-02-01,-52160000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,NetCashProvidedByUsedInFinancingActivities,2008-02-04
4,2010-01-31,-55498000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,NetCashProvidedByUsedInFinancingActivities,2009-02-02
12,2011-01-30,-178315000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,NetCashProvidedByUsedInFinancingActivities,2010-02-01
21,2012-01-29,-259039000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,NetCashProvidedByUsedInFinancingActivities,2011-01-31
29,2013-02-03,-236445000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012,NetCashProvidedByUsedInFinancingActivities,2012-01-30
34,2014-02-02,-355376000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2013,NetCashProvidedByUsedInFinancingActivities,2013-02-04
36,2017-01-29,-305806000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,NetCashProvidedByUsedInFinancingActivities,2016-02-01
37,2018-01-28,-51707000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,NetCashProvidedByUsedInFinancingActivities,2017-01-29
44,2019-02-03,-450066000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,NetCashProvidedByUsedInFinancingActivities,2018-01-29
53,2020-02-02,-327226000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,NetCashProvidedByUsedInFinancingActivities,2019-02-04
62,2021-01-31,-343019000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,NetCashProvidedByUsedInFinancingActivities,2020-02-03
70,2022-01-30,-1491985000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,NetCashProvidedByUsedInFinancingActivities,2021-02-01
76,2023-01-29,-1178673000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,NetCashProvidedByUsedInFinancingActivities,2022-01-31
0,2013-02-03,-236445000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2012-02-01
3,2014-02-02,-355376000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2013-02-04
10,2015-02-01,-379020000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2014-02-03
19,2016-01-31,-369383000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2015-02-02
28,2017-01-29,-305806000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2016-02-01
36,2018-01-28,-51707000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2017,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2017-01-30
0,2009-02-01,-144039000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,NetCashProvidedByUsedInInvestingActivities,2008-02-04
4,2010-01-31,-71230000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,NetCashProvidedByUsedInInvestingActivities,2009-02-02
12,2011-01-30,-63995000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,NetCashProvidedByUsedInInvestingActivities,2010-02-01
21,2012-01-29,-157704000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,NetCashProvidedByUsedInInvestingActivities,2011-01-31
29,2013-02-03,-206815000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012,NetCashProvidedByUsedInInvestingActivities,2012-01-30
34,2014-02-02,-190624000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2013,NetCashProvidedByUsedInInvestingActivities,2013-02-04
36,2017-01-29,-196975000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,NetCashProvidedByUsedInInvestingActivities,2016-02-01
37,2018-01-28,-269760000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,NetCashProvidedByUsedInInvestingActivities,2017-01-29
44,2019-02-03,-187899000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,NetCashProvidedByUsedInInvestingActivities,2018-01-29
53,2020-02-02,-185548000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,NetCashProvidedByUsedInInvestingActivities,2019-02-04
62,2021-01-31,-168884000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,NetCashProvidedByUsedInInvestingActivities,2020-02-03
70,2022-01-30,-226247000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,NetCashProvidedByUsedInInvestingActivities,2021-02-01
76,2023-01-29,-353955000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,NetCashProvidedByUsedInInvestingActivities,2022-01-31
0,2013-02-03,-206815000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2012-02-01
3,2014-02-02,-190624000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2013-02-04
10,2015-02-01,-188600000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2014-02-03
19,2016-01-31,-202166000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2015-02-02
28,2017-01-29,-196975000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2016-02-01
36,2018-01-28,-269760000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2017,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2017-01-30
0,2009-02-01,230163000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,NetCashProvidedByUsedInOperatingActivities,2008-02-04
4,2010-01-31,490718000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,NetCashProvidedByUsedInOperatingActivities,2009-02-02
12,2011-01-30,355989000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,NetCashProvidedByUsedInOperatingActivities,2010-02-01
21,2012-01-29,291334000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,NetCashProvidedByUsedInOperatingActivities,2011-01-31
29,2013-02-03,364127000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012,NetCashProvidedByUsedInOperatingActivities,2012-01-30
34,2014-02-02,453769000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2013,NetCashProvidedByUsedInOperatingActivities,2013-02-04
36,2017-01-29,524709000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,NetCashProvidedByUsedInOperatingActivities,2016-02-01
37,2018-01-28,499704000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,NetCashProvidedByUsedInOperatingActivities,2017-01-29
44,2019-02-03,585986000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,NetCashProvidedByUsedInOperatingActivities,2018-01-29
53,2020-02-02,607294000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,NetCashProvidedByUsedInOperatingActivities,2019-02-04
62,2021-01-31,1274848000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,NetCashProvidedByUsedInOperatingActivities,2020-02-03
70,2022-01-30,1371147000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,NetCashProvidedByUsedInOperatingActivities,2021-02-01
76,2023-01-29,1052822000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,NetCashProvidedByUsedInOperatingActivities,2022-01-31
0,2013-02-03,364127000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2012-02-01
3,2014-02-02,453769000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2013-02-04
10,2015-02-01,461697000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2014-02-03
19,2016-01-31,544026000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2015-02-02
28,2017-01-29,524709000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2016-02-01
36,2018-01-28,499704000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2017,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2017-01-30
0,2009-02-01,30024000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,NetIncomeLoss,2008-02-04
6,2010-01-31,77442000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,NetIncomeLoss,2009-02-02
8,2010-05-02,19538000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q1,NetIncomeLoss,2010-02-01
13,2010-08-01,30759000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q2,NetIncomeLoss,2010-05-03
18,2010-10-31,36530000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q3,NetIncomeLoss,2010-08-02
21,2011-01-30,200227000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,NetIncomeLoss,2010-02-01
22,2011-01-30,113400000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4,NetIncomeLoss,2010-11-01
26,2011-05-01,31615000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q1,NetIncomeLoss,2011-01-31
32,2011-07-31,39309000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q2,NetIncomeLoss,2011-05-02
38,2011-10-30,43421000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q3,NetIncomeLoss,2011-08-01
41,2012-01-29,236931000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,NetIncomeLoss,2011-01-31
43,2012-01-29,122586000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4,NetIncomeLoss,2011-10-31
